TIME_GAP,LABELS,NARRATION,BLOCK_TIMESTAMP
0,Hacker_Wallet_2,Exploiter Transfered 116.9SRM from 96StvqZyFUPtyMr4o9s7K4V29RSNyRpVi76vNwxG5rUf worth 113.85USD 0 minutes later,2022-08-02 22:49:06.000
0,Hacker_Wallet_1,Exploiter Transfered 2020.73USDC from AaNKkGYkrM9NAXN1Yj7u19Q6nZsTw1QaC64DALtdmZh7 worth 2022.07USD 0 minutes later,2022-08-02 22:49:06.000
0,Hacker_Wallet_1,Exploiter Transfered 10000KI from AaNKkGYkrM9NAXN1Yj7u19Q6nZsTw1QaC64DALtdmZh7 worth 1552.91USD 0 minutes later,2022-08-02 22:49:07.000
0,Hacker_Wallet_2,Exploiter Transfered 64.95SOL from ASetwUbN9cbwXZctAcV1p5RtHZHoCQYVQQDd3m68wENM worth 2655.48USD 0 minutes later,2022-08-02 22:49:09.000
0,Hacker_Wallet_1,Exploiter Transfered 4652.21USDC from AT7YySEh9d4eAYE1zoCALWMWM8ZuiRHozB4xaQCncW7U worth 4655.29USD 0 minutes later,2022-08-02 22:49:09.000
0,Hacker_Wallet_2,Exploiter Transfered 777.1DXL from 96StvqZyFUPtyMr4o9s7K4V29RSNyRpVi76vNwxG5rUf worth 102.09USD 0 minutes later,2022-08-02 22:49:09.000
0,Hacker_Wallet_1,Exploiter Transfered 4629.53USDT from 4S1vQ3RfpfUxjeFBJQ2LfFvUjgWUzwJhuJLtWTbnqAYu worth 4635.66USD 0 minutes later,2022-08-02 22:49:09.000
0,Hacker_Wallet_2,Exploiter Transfered 21.51SOL from HTq1SeMjPXpFU7h9f4N4sNmH42JhrKMhjPFQZhdyAg4R worth 879.47USD 0 minutes later,2022-08-02 22:49:10.000
0,Hacker_Wallet_1,Exploiter Transfered 4620.55USDC from 4s6DYDkLfqsmxULrFZr3Gk9GL912M9xtwvb3EFLff1gt worth 4623.61USD 0 minutes later,2022-08-02 22:49:11.000
0,Hacker_Wallet_2,Exploiter Transfered 939.83USDC from 7wWqumew4HqzhrEJcRg4tnz6N6qARcqEbtdfhmW4QLWB worth 940.45USD 0 minutes later,2022-08-02 22:49:13.000
0,Hacker_Wallet_1,Exploiter Transfered 103.23SOL from 8T6nnKyuPQUFUkeDw91fgedJX6YQP4HUgixgoQnCsb55 worth 4220.44USD 0 minutes later,2022-08-02 22:49:13.000
0,Hacker_Wallet_2,Exploiter Transfered 22.15SOL from CYzVR9UpStYDihnwKkNsz7TP8ePBztTustHCM4mum7wa worth 905.73USD 0 minutes later,2022-08-02 22:49:14.000
0,Hacker_Wallet_3,Exploiter Transfered 635844989EXIST from 2dKe17sByekvAsBH7f2JcRVSYmU5HybDdQGniTkuBokM worth 197533511.82USD 0 minutes later,2022-08-02 22:49:16.000
