DATE1,TIMEFRAME,LOW,HIGH,OPEN,CLOSE
2023-12-01 00:00:00.000,After_hack,0.02168106708,0.0222811693,0.02176715717,0.02173157621
2023-11-30 00:00:00.000,After_hack,0.02168473097,0.02273515537,0.02172078469,0.02168473097
2023-11-29 00:00:00.000,After_hack,0.02097117384,0.02287974889,0.02097117384,0.02167456484
2023-11-28 00:00:00.000,After_hack,0.02015967202,0.02090027152,0.02069316647,0.02090027152
2023-11-27 00:00:00.000,After_hack,0.02061935727,0.02178691075,0.02080705081,0.02086533822
2023-11-26 00:00:00.000,After_hack,0.02008226158,0.0209082338,0.02008226158,0.0208856884
2023-11-25 00:00:00.000,After_hack,0.01986070914,0.02076376028,0.02006482048,0.02047662624
2023-11-24 00:00:00.000,After_hack,0.01950785798,0.02074176121,0.0197629909,0.02006999939
2023-11-23 00:00:00.000,After_hack,0.01905637809,0.01959794674,0.01942193453,0.01959794674
2023-11-22 00:00:00.000,After_hack,0.01910421011,0.01988616839,0.0194929065,0.01988616839
2023-11-21 00:00:00.000,After_hack,0.01921635784,0.01967366186,0.01948717056,0.01967366186
2023-11-20 00:00:00.000,After_hack,0.01845311923,0.02016490915,0.01932046351,0.01944573139
2023-11-19 00:00:00.000,After_hack,0.0190286931,0.01957610555,0.01955825028,0.01943068803
2023-11-18 00:00:00.000,After_hack,0.01951365131,0.02032792989,0.02032792989,0.01951365131
2023-11-17 00:00:00.000,After_hack,0.01999924928,0.02096716728,0.02059756415,0.02011798486
2023-11-16 00:00:00.000,After_hack,0.02060053322,0.02333415644,0.02307363299,0.02078084321
2023-11-15 00:00:00.000,After_hack,0.02157778357,0.0268071317,0.0268071317,0.0227916133
2023-11-14 00:00:00.000,After_hack,0.02203779079,0.02502090577,0.02203779079,0.02502090577
2023-11-13 00:00:00.000,After_hack,0.02169807697,0.02470165793,0.02308360681,0.02192126743
2023-11-12 00:00:00.000,After_hack,0.02140068344,0.0246590174,0.02140068344,0.02313840686
2023-11-11 00:00:00.000,After_hack,0.01819757586,0.02094368055,0.01819757586,0.02086112617
2023-11-10 00:00:00.000,After_hack,0.01787575118,0.01852755527,0.01824935506,0.01813387716
2023-11-09 00:00:00.000,After_hack,0.01839025972,0.02051480916,0.01980663721,0.01842093941
2023-11-08 00:00:00.000,After_hack,0.01980522606,0.02068563993,0.02068312325,0.01980630715
2023-11-07 00:00:00.000,After_hack,0.02060912737,0.02136227876,0.02100486545,0.02066207244
2023-11-06 00:00:00.000,After_hack,0.02023585408,0.02173481905,0.02023585408,0.02111740095
2023-11-05 00:00:00.000,After_hack,0.02008645389,0.02268589464,0.02268589464,0.02008645389
2023-11-04 00:00:00.000,After_hack,0.01841230534,0.02030034825,0.01854119657,0.02030034825
