EVENT,BLOCK_TIMESTAMP,TX_ID,SENDER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
Transfered,2022-02-02 18:34:48.000,4ZYmPrwPUXfyUqp4GAh6thxe8TM8rJ5JEC7ns7nhE6Jeq4dbp3PpLem1TX6b4Ntg3fPF5gU7ZDYvXkQQcsj3RyvC,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,ETH,1866.84,5108261.96
Transfered,2022-02-02 18:34:48.000,4ZYmPrwPUXfyUqp4GAh6thxe8TM8rJ5JEC7ns7nhE6Jeq4dbp3PpLem1TX6b4Ntg3fPF5gU7ZDYvXkQQcsj3RyvC,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,ETH,9370.72,25641279.59
Transfered,2022-02-02 18:34:18.000,2SndtH3tU4j6v14HJzEde3d3dnpdHqTPn4VnvhTj4zKLo26H5kmtCwjn2nANfjXNVbmFsyEGtD4Jte25azsPwaRk,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,ETH,26250.1,71828664.64
Transfered,2022-02-02 18:34:18.000,2SndtH3tU4j6v14HJzEde3d3dnpdHqTPn4VnvhTj4zKLo26H5kmtCwjn2nANfjXNVbmFsyEGtD4Jte25azsPwaRk,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,ETH,9370.72,25641279.59
Transfered,2023-01-23 18:49:52.000,3KbFNtEwSpsJjhvuoGSyN5dX8itkYCsmQeHhtLkNoTwTUkS2gDTjPJqbRjUh84LrqdvgvTgV8DEFbPzoskFgmYkd,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDT,142600.07,142700.36
Transfered,2023-01-23 18:39:25.000,3E2myynz6FaKKngcgb3S6CCDgfGv6UfEusMYVgfs1FSoqV8yh7Tkgrs1j7KWAhWqgJ4FWrefBUnsDPASdrFsdp8T,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDT,436363.36,436670.25
Transfered,2023-01-23 18:49:52.000,3KbFNtEwSpsJjhvuoGSyN5dX8itkYCsmQeHhtLkNoTwTUkS2gDTjPJqbRjUh84LrqdvgvTgV8DEFbPzoskFgmYkd,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDT,570729.67,571131.06
Transfered,2023-01-23 18:50:28.000,21hLe2u3jaajgpURVuE1USSvUag7rvW1rwSRTc8nusNfocQ8hmMFgSzeYazeWmvpzzzNqv5CUBc5Fm1Ssmrd46TK,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDT,713116.16,713617.69
Transfered,2023-01-23 18:38:10.000,5UD7TgfKeADhQGBLD37RwG3WyESMFn7UfDfuEYZ8cfKSbwgEuuGsFoT3BVzkkp7euCAgKDvFVLBkvyZUXKNf3q5H,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDT,436363.36,436670.25
Transfered,2023-01-24 00:06:16.000,4oTqPT8hthFYSkCX6H7q9Y4DYXFi4rC6J66n2uAaVTpTbvrUhpRLELvZEZbYdEP1CwdQnXEbrKjNaW7GkqpqzwtW,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,DAI,548907.12,548749.68
Transfered,2023-01-24 00:24:48.000,3ys9hmZbSeV3kD2sWVSAGfnCZxLexBZxPxXhSBNkWahRZGn76ud1w55SVMhmUpHsdT39hsUfHGCy8JtZwnepUqyH,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,DAI,68166.88,68147.32
Transfered,2023-01-24 00:25:28.000,4bCT6xsxP7335mcg2qJcH1NjfL4nxyz5oAsV6bFM4BBJyr3EyJS9BmWeQuuu8cgiwaSXFEYAKSQqtoU1GEacQJVb,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,DAI,68166.88,68147.32
Transfered,2023-01-24 00:29:38.000,56L58zhxaLtgbjVYxFytryiD997THNFKAScmyST8PT3jtVHxcgj2T5Xqprybpf9pGmMpKkxspgGuDzu4SrzdnAPW,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,DAI,132019.97,131982.1
Transfered,2023-01-24 00:19:36.000,ri26Qb5eQFnVmHe6EcMDedAxmT3nPbPXxbBmrcsBgFXYb9v3ggu2MMf1wcDdG4oSJcn5aMdHnsxomFcXchbM7KS,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,DAI,107432.84,107402.02
Transfered,2023-01-24 00:27:23.000,QstCTfMxZFMyYNLShttVkkeqRRYVo3hqY6khL18v8GC6xq1BYzuqkHtpmorerDjGyZxJbwM7PpXsNV2ZNESQiHU,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,DAI,64050.14,64031.77
Transfered,2023-01-24 00:22:34.000,4vesdaT4X3TRbLJ9xrY7pGWMGjpqeY4oEzGwhZQvkLmJkyUqSzwTRWz4ozxrBv2Gez1NumhEEJfSzFctSScAJ2mT,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,DAI,107432.84,107402.02
Transfered,2023-01-24 00:26:26.000,3PrpLqHqz4qwSWR44wVTamitQad46MEsU4NDfgFayfry5XYYgRc2W8b66fL7JTzysbozu3kZhmaSMqdLkg6vLXhV,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,DAI,67969.83,67950.33
